paulina_dots_gallery_data
ID;IMG_FILE;TITLE;DESCRIPTION;VIDEO_URL;PROMPT_ID;PROMPT_TEXT;LIKES
1;Paulinadots01.webp;Red Rebel;Paulina walks between lights and shadows. Futuristic beauty and defiant attitude.;https://youtu.be/axtqAzgHyBI;prompt-01;Backstage editorial look, medium telephoto lens (85mm), camera angle at eye level, neutral lighting with soft shadows. Urban setting with subtle color grading and shallow depth of field.;12
2;Paulinadots02.webp;Soft Geometry;Ethereal elegance under digital geometries. Paulina redefines the essential.;https://youtu.be/dD6vOY17FKw;prompt-02;Runway aesthetic, frontal wide shot (35mm), dynamic lighting with dramatic rim light. High fashion styling, backdrop abstract futuristic red.;15
3;Paulinadots03.webp;White Lab Look;White minimalism with scientific shine. Serene look, digital precision.;https://youtu.be/AszFSPWjfeY;prompt-03;Close-up portrait, 50mm lens, soft ambient lighting. Focus on facial expression and eye details. Minimalist background with bokeh.;9
4;Paulinadots04.webp;Chrome Pose;Cold, perfect, chromed. Paulina as a future statue of aesthetic precision.;https://youtu.be/uLpoKyy7Zco;prompt-04;Side-lit pose, medium shot (70mm), golden hour lighting. Composition emphasizes contrast between skin and background glitch.;7
5;Paulinadots05.webp;Red Signal;Tight clothes and direct look. Visual signals that dominate the screen.;https://youtu.be/wIt7hNQGvhk;prompt-05;High contrast scene, telephoto lens (135mm), straight-on angle, background with smoke and neon. Fashion-forward and futuristic tone.;11
6;Paulinadots06.webp;Urban Run;Frozen mobility. Paulina challenging urban space with digital grace.;https://youtu.be/wIt7hNQGvhk;prompt-06;Studio setup, beauty lighting, 85mm lens, mid-body crop. Fashion editorial styling, neutral backdrop.;6
7;Paulinadots07.webp;Closeup Mode;Sharp details. Paulina as an algorithm with soul.;https://youtu.be/xgHtIHuVdEA;prompt-07;Environmental portrait, 35mm lens, low-angle shot. Cityscape blur with warm tones. Candid expression.;17
8;Paulinadots08.webp;Sunset Attitude;Paulina looks at the glitch horizon. Digital rebellion at sunset.;https://youtu.be/okxy2UDf8xw;prompt-08;Golden hour backlight, wide lens (28mm), full body capture. Emphasis on posture and soft flare around edges.;8
9;Paulinadots09.webp;Digital Drift;Red smoke, firm look. Paulina paused between frames from another world.;https://youtu.be/wOvQCLG-9O0;prompt-09;Streetwear concept, long lens (105mm), centered composition. Red haze filters through mid-ground.;4
10;Paulinadots10.webp;Bloom in Glitch;Expanded digital color. Impossible flowers and calm face.;https://youtu.be/NB6IZ9lxwDg;prompt-10;Art fashion style, symmetrical composition, frontal camera (50mm), experimental lighting in magenta tones.;10
11;Paulinadots11.webp;Red Liquid;Liquid textures merge with a digitally classic Paulina.;https://youtu.be/8vp71YSy7lc;prompt-11;Black-on-black style, contrasty lighting, detail focus. Editorial mood with deep shadows. Shot at f/2.8.;6
12;Paulinadots12.webp;Silk Transparency;Elegant transparencies. Invisible textiles under the spotlight of the editorial camera.;https://youtu.be/FPu5AaYa6O0;prompt-12;Conceptual transparency, half-body crop, soft diffusion filter. Ultra-fashion angle with silk reflections.;14
13;Paulinadots13.webp;Design Lines;The body as a line of design. Paulina integrates into the fashion stroke.;https://youtu.be/Mbs1bM2yaXs;prompt-13;Design-focused crop, tilted frame, 24mm lens, harsh daylight. Posture and fabric lines define the geometry.;3
14;Paulinadots14.webp;Golden Fade;Warm background, golden light, gaze that vanishes to another dimension.;https://youtu.be/9s1JKPlTD9Q;prompt-14;Golden fade mood, portrait format, warm tonal grading. Paulina lit by indirect softbox glow.;13
15;Paulinadots15.webp;Digital Fog;Artificial red fog. Marked thearlight, strong posture.;https://youtu.be/XyqsvZt-dH8;prompt-15;High key contrast setup, red digital fog in backdrop. Strong side light, posture as central axis.;5
16;Paulinadots16.webp;Ascension Glow;Digital fire. Epic ending.;https://youtu.be/XyqsvZt-dH8;prompt-16;Epic fashion finale, low-angle lens (35mm), red fire tone grade. Post-digital look with glowing gradient background.;16
